feature,source_family,transform_type,identity_proxy,development_nonmissing_rows,development_coverage,development_unique_nonmissing,development_standard_deviation,development_transitions_with_data,minimum_required_rows,minimum_required_transitions,target_blind_keep
demographic__אחוז_בני_64_60_באוכלוסייה_בסוף_2013__level,demographic,level,False,200,0.021172983273343216,172,1.7593980554689548,1,150,2,False
demographic__אחוז_בני_65_ומעלה_באוכלוסייה_בסוף_2013__level,demographic,level,False,200,0.021172983273343216,188,4.638332744992142,1,150,2,False
demographic__אחוז_בני_17_0_באוכלוסייה_בסוף_2013__level,demographic,level,False,200,0.021172983273343216,190,8.604974935798976,1,150,2,False
demographic__אחוז_בני_75_ומעלה_באוכלוסייה_בסוף_2013__level,demographic,level,False,200,0.021172983273343216,172,2.459372534574438,1,150,2,False
demographic__לידות_חי_2013__level,demographic,level,False,200,0.021172983273343216,178,1884.9011897845623,1,150,2,False
demographic__פטירות_2013__level,demographic,level,False,200,0.021172983273343216,126,458.35431619092935,1,150,2,False
demographic__ריבוי_טבעי_סה_כ_2013__level,demographic,level,False,200,0.021172983273343216,178,1524.3199216759226,1,150,2,False
demographic__ריבוי_טבעי_לאלף_תושבים_2013_2012__level,demographic,level,False,200,0.021172983273343216,194,8.403434149502514,1,150,2,False
demographic__מאזן_הגירה_סה_כ_2013__level,demographic,level,False,200,0.021172983273343216,152,598.6093984893646,1,150,2,False
demographic__אחוז_עולי_1990_מסך_האוכלוסייה_2013__level,demographic,level,False,121,0.012809654880372645,101,9.89921748862264,1,150,2,False
demographic__אחוז_גידול_האוכלוסייה_שנת_2013_לעומת_2012__level,demographic,level,False,200,0.021172983273343216,166,2.234601523728391,1,150,2,False
demographic__פטירות_תינוקות_ממוצע_2013_2009__level,demographic,level,False,174,0.018420495447808598,41,7.322844589833334,1,150,2,False
demographic__השתקעות_ראשונה_של_עולים_2013__level,demographic,level,False,113,0.011962735549438917,75,383.7099967001589,1,150,2,False
demographic__אחוז_עולים_בני_17_0_בהשתקעות_ראשונה_2013__level,demographic,level,False,113,0.011962735549438917,81,19.438483106304453,1,150,2,False
demographic__אחוז_עולים_בני_44_18_בהשתקעות_ראשונה_2013__level,demographic,level,False,113,0.011962735549438917,79,19.1893059875993,1,150,2,False
demographic__אחוז_עולים_בני_64_45_בהשתקעות_ראשונה_2013__level,demographic,level,False,113,0.011962735549438917,71,11.144541105858824,1,150,2,False
demographic__אחוז_עולים_בני_65_ומעלה_בהשתקעות_ראשונה_2013__level,demographic,level,False,113,0.011962735549438917,71,8.594002590817244,1,150,2,False
demographic__סה_כ_גברים_בסוף_2015_אלפים__level,demographic,level,False,412,0.04361634554308702,139,39.3485798234187,2,150,2,True
demographic__סה_כ_נשים_בסוף_2015_אלפים__level,demographic,level,False,412,0.04361634554308702,142,40.32969945349356,2,150,2,True
demographic__יחס_תלות_לאלף_תושבים_בלתי_תלויים_2015__level,demographic,level,False,412,0.04361634554308702,159,238.96337006786376,2,150,2,True
demographic__אחוז_בני_4_0_באוכלוסייה_בסוף_2015__level,demographic,level,False,412,0.04361634554308702,86,3.099365601923544,2,150,2,True
demographic__אחוז_בני_9_5_באוכלוסייה_בסוף_2015__level,demographic,level,False,412,0.04361634554308702,82,2.5068356103582956,2,150,2,True
demographic__אחוז_בני_14_10_באוכלוסייה_בסוף_2015__level,demographic,level,False,412,0.04361634554308702,84,2.347230722133986,2,150,2,True
demographic__אחוז_בני_19_15_באוכלוסייה_בסוף_2015__level,demographic,level,False,412,0.04361634554308702,73,2.1494870479369195,2,150,2,True
demographic__אחוז_בני_29_20_באוכלוסייה_בסוף_2015__level,demographic,level,False,412,0.04361634554308702,86,2.6526724997845705,2,150,2,True
demographic__אחוז_בני_44_30_באוכלוסייה_בסוף_2015__level,demographic,level,False,412,0.04361634554308702,92,2.6101380108327588,2,150,2,True
demographic__אחוז_בני_59_45_באוכלוסייה_בסוף_2015__level,demographic,level,False,412,0.04361634554308702,94,3.4057266952344367,2,150,2,True
demographic__אחוז_בני_64_60_באוכלוסייה_בסוף_2015__level,demographic,level,False,412,0.04361634554308702,60,1.6165957314404507,2,150,2,True
demographic__אחוז_בני_65_ומעלה_באוכלוסייה_בסוף_2015__level,demographic,level,False,412,0.04361634554308702,121,4.807273753796888,2,150,2,True
demographic__אחוז_בני_17_0_באוכלוסייה_בסוף_2015__level,demographic,level,False,412,0.04361634554308702,147,8.238743581537735,2,150,2,True
demographic__אחוז_בני_75_ומעלה_באוכלוסייה_בסוף_2015__level,demographic,level,False,412,0.04361634554308702,78,2.4327670781116217,2,150,2,True
demographic__לידות_חי_2015__level,demographic,level,False,412,0.04361634554308702,191,1950.8092051046162,2,150,2,True
demographic__פטירות_2015__level,demographic,level,False,412,0.04361634554308702,123,474.14475977747003,2,150,2,True
demographic__ריבוי_טבעי_סה_כ_2015__level,demographic,level,False,412,0.04361634554308702,175,1574.5079996838485,2,150,2,True
demographic__ריבוי_טבעי_לאלף_תושבים_2015_2014__level,demographic,level,False,412,0.04361634554308702,134,8.017708488016646,2,150,2,True
demographic__מאזן_הגירה_סה_כ_2015__level,demographic,level,False,412,0.04361634554308702,161,603.1632957420437,2,150,2,True
demographic__אחוז_עולי_1990_מסך_האוכלוסייה_2015__level,demographic,level,False,253,0.026783823840779167,107,9.638532320271278,2,150,2,True
demographic__אחוז_גידול_האוכלוסייה_שנת_2015_לעומת_2014__level,demographic,level,False,412,0.04361634554308702,58,1.432883430854284,2,150,2,True
demographic__פטירות_תינוקות_ממוצע_2015_2011__level,demographic,level,False,340,0.03599407156468346,44,6.8685671464396485,2,150,2,True
demographic__השתקעות_ראשונה_של_עולים_2015__level,demographic,level,False,275,0.029112852000846918,79,642.888478927017,2,150,2,True
demographic__אחוז_עולים_בני_17_0_בהשתקעות_ראשונה_2015__level,demographic,level,False,272,0.02879525725174677,81,26.491206093691897,2,150,2,True
demographic__אחוז_עולים_בני_44_18_בהשתקעות_ראשונה_2015__level,demographic,level,False,231,0.024454795680711412,88,13.428048017319194,2,150,2,True
demographic__אחוז_עולים_בני_64_45_בהשתקעות_ראשונה_2015__level,demographic,level,False,204,0.02159644293881008,79,10.769898863498732,2,150,2,True
demographic__אחוז_עולים_בני_65_ומעלה_בהשתקעות_ראשונה_2015__level,demographic,level,False,220,0.023290281600677535,72,15.681073615619589,2,150,2,True
demographic__צפיפות_אוכלוסייה_לקמ_ר_ביישובים_שמנו_5_000_תושבים_ויותר__level,demographic,level,False,337,0.035676476815583315,333,3763.4068868534714,2,150,2,True
demographic__סה_כ_אוכלוסייה_בסוף_השנה__level,demographic,level,False,395,0.041816641964852845,391,89925.10875582456,2,150,2,True
demographic__סך_כל_הישראלים__level,demographic,level,False,194,0.020537793775142917,192,89414.97316781017,1,150,2,False
demographic__יהודים_ואחרים_אחוזים_מתוך_כלל_אוכלוסיית_הישראלים__level,demographic,level,True,291,0.030806690662714378,67,39.41702859956491,2,150,2,True
demographic__יהודים_אחוזים_מתוך_יהודים_ואחרים__level,demographic,level,True,300,0.03175947491001482,171,21.864359712578494,2,150,2,True
demographic__ערבים_אחוזים_מתוך_כלל_אוכלוסיית_הישראלים__level,demographic,level,True,179,0.018949820029642177,46,48.59538289892971,1,150,2,False
demographic__מוסלמים_אחוזים_מתוך_האוכלוסייה_הערבית__level,demographic,level,True,179,0.018949820029642177,105,28.48342277837765,1,150,2,False
demographic__נוצרים_אחוזים_מתוך_האוכלוסייה_הערבית__level,demographic,level,True,125,0.013233114545839508,96,20.486614827656965,1,150,2,False
demographic__סה_כ_גברים_בסוף_השנה__level,demographic,level,False,395,0.041816641964852845,387,44820.80937934763,2,150,2,True
