election_number,target_election,locality_symbol,locality_name,normalized_name,reason,valid_votes
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1093.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1138.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1088.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1175.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1192.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1148.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1190.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1176.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1191.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1152.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1182.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1185.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1209.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1157.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1176.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1132.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1155.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1175.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1175.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1195.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1185.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1146.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1168.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1011.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1168.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1179.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1176.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1186.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1125.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1159.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1181.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1175.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1152.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1178.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1159.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1176.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1187.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1145.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1182.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1204.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1181.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1205.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1167.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1136.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1168.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1201.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1177.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1176.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1199.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1172.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1147.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1164.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1166.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1184.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1175.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1182.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1181.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1174.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1173.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1190.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1158.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1186.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1187.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1197.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1174.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1184.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1173.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1182.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1177.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1169.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1181.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1180.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1172.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1172.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1188.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1180.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1161.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1185.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1178.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1166.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1169.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1164.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1157.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1165.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1185.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1178.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1176.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1159.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1193.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1139.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1178.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1182.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1189.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1170.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1180.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1193.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1157.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1197.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1171.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1188.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1197.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1188.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1169.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1173.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1167.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1190.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1171.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1189.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1191.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1147.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1183.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1168.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1136.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1190.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1191.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1181.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1188.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1176.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1187.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1179.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,988.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1169.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1181.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1184.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,596.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,589.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,789.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,591.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,546.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1188.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1189.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1179.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1186.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1183.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1178.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1191.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1177.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1189.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1113.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1189.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,468.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1177.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1177.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1169.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1173.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1176.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1179.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1202.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1201.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1174.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1183.0
17,Knesset_17,,מעטפות כפולות,מעטפות כפולות,special_envelope,1190.0
18,Knesset_18,0,מעטפות כפולות,מעטפות כפולות,special_envelope,184391.0
20,Knesset_20,0,,,missing_or_special_symbol,232681.0
21,Knesset_21,99999,מעטפות חיצוניות,מעטפות חיצוניות,special_envelope,238822.0
22,Knesset_22,9999,מעטפות חיצוניות,מעטפות חיצוניות,special_envelope,280216.0
23,Knesset_23,9999,מעטפות חיצוניות,מעטפות חיצוניות,special_envelope,327702.0
24,Knesset_24,9999,מעטפות חיצוניות,מעטפות חיצוניות,special_envelope,421619.0
25,Knesset_25,9999,מעטפות חיצוניות,מעטפות חיצוניות,special_envelope,458714.0
