model,feature,feature_type,training_missing_pct,training_unique_non_missing,kept,reason
Ridge — socioeconomic only,current_feature__demographic__יהודים ואחרים (אחוזים,numeric,100.0,0,False,missingness_above_threshold
Ridge — socioeconomic only,"current_feature__education__ילדים בגנים של משרד החינוך סה""כ",numeric,10.46770601336303,378,True,kept
Ridge — socioeconomic only,current_feature__education__ילדים בגנים של משרד החינוך גיל 3,numeric,10.46770601336303,332,True,kept
Ridge — socioeconomic only,current_feature__education__ילדים בגנים של משרד החינוך גיל 4,numeric,10.46770601336303,327,True,kept
Ridge — socioeconomic only,current_feature__education__ילדים בגנים של משרד החינוך גיל 5,numeric,10.46770601336303,333,True,kept
Ridge — socioeconomic only,current_feature__education__ילדים בגנים של משרד החינוך גיל 6,numeric,16.926503340757236,152,True,kept
Ridge — socioeconomic only,"current_feature__education__בתי ספר סה""כ",numeric,10.913140311804009,74,True,kept
Ridge — socioeconomic only,current_feature__education__בתי ספר יסודיים,numeric,11.358574610244988,59,True,kept
Ridge — socioeconomic only,current_feature__education__בתי ספר על-יסודיים,numeric,16.926503340757236,56,True,kept
Ridge — socioeconomic only,current_feature__education__בתי ספר חטיבות ביניים,numeric,21.826280623608017,26,True,kept
Ridge — socioeconomic only,current_feature__education__בתי ספר תיכוניים,numeric,20.93541202672606,44,True,kept
Ridge — socioeconomic only,"current_feature__education__כיתות סה""כ",numeric,11.1358574610245,268,True,kept
Ridge — socioeconomic only,current_feature__education__כיתות בבתי ספר יסודיים,numeric,11.358574610244988,215,True,kept
Ridge — socioeconomic only,current_feature__education__כיתות בבתי ספר על-יסודיים,numeric,16.926503340757236,188,True,kept
Ridge — socioeconomic only,current_feature__education__כיתות בחטיבות ביניים,numeric,21.826280623608017,115,True,kept
Ridge — socioeconomic only,current_feature__education__כיתות בבתי ספר תיכוניים,numeric,20.93541202672606,148,True,kept
Ridge — socioeconomic only,"current_feature__education__תלמידים סה""כ",numeric,11.1358574610245,392,True,kept
Ridge — socioeconomic only,current_feature__education__תלמידים בבתי ספר יסודיים,numeric,11.358574610244988,390,True,kept
Ridge — socioeconomic only,current_feature__education__תלמידים בבתי ספר על-יסודיים,numeric,16.926503340757236,357,True,kept
Ridge — socioeconomic only,current_feature__education__תלמידים בחטיבות ביניים,numeric,21.826280623608017,314,True,kept
Ridge — socioeconomic only,current_feature__education__תלמידים בבתי ספר תיכוניים,numeric,20.93541202672606,335,True,kept
Ridge — socioeconomic only,current_feature__education__ממוצע תלמידים לכיתה בבתי ספר יסודיים,numeric,10.46770601336303,303,True,kept
Ridge — socioeconomic only,"current_feature__education__אחוז תלמידים נושרים סה""כ",numeric,20.26726057906459,193,True,kept
Ridge — socioeconomic only,current_feature__education__אחוז תלמידים נושרים בנים,numeric,36.525612472160354,197,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__education__אחוז תלמידים נושרים בנות,numeric,38.97550111358575,133,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__education__אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,numeric,12.91759465478842,371,True,kept
Ridge — socioeconomic only,current_feature__education__אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,numeric,12.91759465478842,379,True,kept
Ridge — socioeconomic only,current_feature__education__השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,numeric,10.46770601336303,342,True,kept
Ridge — socioeconomic only,current_feature__education__השכלה גבוהה אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב,numeric,28.73051224944321,231,True,kept
Ridge — socioeconomic only,current_feature__education__השכלה גבוהה אחוז סטודנטים מתוך אוכלוסיית בני 25-20,numeric,10.46770601336303,366,True,kept
Ridge — socioeconomic only,current_feature__education__השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה,numeric,10.46770601336303,255,True,kept
Ridge — socioeconomic only,current_feature__education__עובדי הוראה מספר עובדי הוראה,numeric,16.926503340757236,319,True,kept
Ridge — socioeconomic only,current_feature__education__עובדי הוראה ממוצע שעות עבודה לשבוע,numeric,16.926503340757236,81,True,kept
Ridge — socioeconomic only,current_feature__education__עובדי הוראה אחוז עובדי הוראה חדשים,numeric,17.37193763919822,297,True,kept
Ridge — socioeconomic only,current_feature__education__עובדי הוראה אחוז שעות היעדרות מסך שעות עבודה שנתיות,numeric,16.926503340757236,73,True,kept
Ridge — socioeconomic only,current_feature__education__עובדי הוראה ממוצע שנות ותק מוכרות בהוראה,numeric,16.926503340757236,91,True,kept
Ridge — socioeconomic only,current_feature__education__עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,numeric,16.926503340757236,350,True,kept
Ridge — socioeconomic only,current_feature__education__עובדי הוראה אחוז עובדי הוראה משתלמים מכלל עובדי הוראה,numeric,16.926503340757236,286,True,kept
Ridge — socioeconomic only,current_feature__education__עובדי הוראה ממוצע תלמידים למורה,numeric,17.14922048997773,288,True,kept
Ridge — socioeconomic only,current_feature__education__עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד,numeric,17.14922048997773,170,True,kept
Ridge — socioeconomic only,"current_feature__income__שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים",numeric,6.23608017817372,421,True,kept
Ridge — socioeconomic only,"current_feature__income__שכר ממוצע לחודש של שכירים (ש""ח) גברים",numeric,6.23608017817372,418,True,kept
Ridge — socioeconomic only,"current_feature__income__שכר ממוצע לחודש של שכירים (ש""ח) נשים",numeric,6.23608017817372,417,True,kept
Ridge — socioeconomic only,current_feature__income__אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים כלל השכירים,numeric,50.11135857461024,185,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים גברים,numeric,50.11135857461024,190,False,missingness_above_threshold
