feature,source_family,transform_type,identity_proxy,original_source_columns,source_years,development_coverage,development_unique_nonmissing,legacy_target_selected_feature,feature_sets,selection_method
education__snapshot_age_years,education,snapshot_recency,False,,,0.0638365445691298,2,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
education__snapshot_interval_years,education,snapshot_interval,False,,,0.04255769637941986,2,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
missing__income__שכר_ממוצע_לחודש_של_שכירים_ש_ח_כלל_השכירים__annualized_change,income,missing_indicator,False,"שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים",2003|2006|2009|2013|2015|2019|2020,1.0,2,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,missingness_indicator_for_selected_feature
missing__income__שכר_ממוצע_לחודש_של_שכירים_ש_ח_גברים__annualized_change,income,missing_indicator,False,"שכר ממוצע לחודש של שכירים (ש""ח) גברים",2003|2006|2009|2013|2015|2019|2020,1.0,2,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,missingness_indicator_for_selected_feature
missing__income__שכר_ממוצע_לחודש_של_שכירים_ש_ח_נשים__annualized_change,income,missing_indicator,False,"שכר ממוצע לחודש של שכירים (ש""ח) נשים",2003|2006|2009|2013|2015|2019|2020,1.0,2,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,missingness_indicator_for_selected_feature
missing__income__אחוז_שינוי_ריאלי_לעומת_השנה_הקודמת_של_שכר_ממוצע_לחודש_של_שכירים_כלל_השכירים__annualized_change,income,missing_indicator,False,אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים כלל השכירים,2003|2006|2009|2013|2015|2019,1.0,2,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,missingness_indicator_for_selected_feature
missing__income__אחוז_שינוי_ריאלי_לעומת_השנה_הקודמת_של_שכר_ממוצע_לחודש_של_שכירים_גברים__annualized_change,income,missing_indicator,False,אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים גברים,2003|2006|2009|2013|2015|2019,1.0,2,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,missingness_indicator_for_selected_feature
missing__income__אחוז_שינוי_ריאלי_לעומת_השנה_הקודמת_של_שכר_ממוצע_לחודש_של_שכירים_נשים__annualized_change,income,missing_indicator,False,אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים נשים,2003|2006|2009|2013|2015|2019,1.0,2,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,missingness_indicator_for_selected_feature
missing__income__מספר_השכירים__annualized_change,income,missing_indicator,False,מספר השכירים,2003|2006|2009|2013|2015|2019,1.0,2,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,missingness_indicator_for_selected_feature
missing__income__אחוז_השכירים_המשתכרים_עד_שכר_מינימום__annualized_change,income,missing_indicator,False,אחוז השכירים המשתכרים עד שכר מינימום,2003|2006|2009|2013|2015|2019,1.0,2,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,missingness_indicator_for_selected_feature
missing__income__מספר_העצמאים__annualized_change,income,missing_indicator,False,מספר העצמאים,2003|2006|2009|2013|2015|2019,1.0,2,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,missingness_indicator_for_selected_feature
missing__income__הכנסה_ממוצעת_לחודש_של_העצמאים_ש_ח__annualized_change,income,missing_indicator,False,"הכנסה ממוצעת לחודש של העצמאים (ש""ח)",2003|2006|2009|2013|2015|2019,1.0,2,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,missingness_indicator_for_selected_feature
