locality_symbol,שם יישוב,year,target_election,valid_votes,Other_raw_pct,Right_pct,Center_Left_pct,Haredi_pct,Arab_pct,אחוז עולי + מסך האוכלוסייה,אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר,השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,"מקבלי קצבאות זקנה ושאירים סה""כ (סוף שנה)","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית",avg_monthly_wage,עובדי הוראה ממוצע תלמידים למורה,אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,"ריבוי טבעי ל-1,000 תושבים",אחוז באוכלוסייה בסוף השנה בני 44-30,גיל ממוצע של מקבלי דמי אבטלה (לא כולל חיילים),עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,שיעור פריון כולל,"יחס תלות (ל-1,000 תושבים בלתי תלויים)","מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה)",עובדי הוראה ממוצע שעות עבודה לשבוע,אחוז באוכלוסייה בסוף השנה בני 9-5,מוסלמים (אחוזים מתוך האוכלוסייה הערבית),ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים),יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים),ממוצע תלמידים לכיתה בבתי ספר יסודיים,type_Arab/Non-Jewish,type_Cities,type_Kibbutzim,type_Moshavim,type_other,type_Druze_Majority
1054,תל שבע,2021,Knesset_24,4362,0.5731315910132966,2.0751671662439475,1.70624855891169,0.0691722388747982,96.14941203596956,0.01,52.3,56.67,3.28,5722,8.47,499,90.2,7247.01,10.28,17.06,27.06,32.46,13.92,34.0,30.68,4.61,1437.0,4145,33.4,14.65,100.0,99.8,,27.3,1,0,0,0,0,0
1054,תל שבע,2022,Knesset_25,5766,0.5376344086021506,1.1333914559721012,1.3426329555361811,0.1918047079337402,97.33217088055798,,53.83,57.17,3.37,5655,9.06,522,89.9,7424.41,10.03,17.5,26.37,36.06,13.85,34.67,33.84,5.06,1421.0,3671,33.3,14.4,100.0,99.8,,26.12,1,0,0,0,0,0
1059,כסיפה,2019,Knesset_21,3324,1.5042117930204573,2.0769700671960907,9.773976786805132,0.9773976786805132,87.17165546731826,0.2,60.33,51.69,4.23,3846,12.2,426,79.9,6198.66,7.96,16.4,40.73,32.9,15.15,35.0,26.37,4.78,1199.8,3369,33.5,13.8,100.0,99.9,0.1,26.55,1,0,0,0,0,0
1059,כסיפה,2019,Knesset_22,4815,1.723779854620976,1.415891800507185,8.875739644970414,1.267962806424345,88.44040574809806,0.2,60.33,51.69,4.23,3846,12.2,426,79.9,6198.66,7.96,16.4,40.73,32.9,15.15,35.0,26.37,4.78,1199.8,3369,33.5,13.8,100.0,99.9,0.1,26.55,1,0,0,0,0,0
1059,כסיפה,2020,Knesset_23,5171,0.8508992457938503,0.7411741759313439,3.998439633313829,0.2535595865028281,95.006826604252,0.0,58.97,58.68,3.11,3957,12.5,446,80.8,5975.137239784117,10.99,17.67,46.69,28.82,14.73,32.15,52.67,4.36,1446.0,3314,33.7,14.45,100.0,100.0,,26.4,1,0,0,0,0,0
1059,כסיפה,2021,Knesset_24,4129,0.6296924194720271,5.240068242749208,4.9719717280039,0.2924689251767,89.4954911040702,0.0,57.3,62.68,1.03,4003,13.26,466,81.2,7882.34,8.97,17.44,51.88,28.05,14.82,33.0,32.8,4.21,1418.0,3336,34.0,14.65,100.0,99.9,,25.77,1,0,0,0,0,0
1059,כסיפה,2022,Knesset_25,5262,0.9502090459901178,1.1511895625479662,7.34842670759785,0.2110514198004605,91.28933231005372,,57.38,62.8,3.18,4019,13.89,481,81.8,8189.99,10.73,17.5,49.34,27.83,14.77,33.7,35.95,4.2,1406.0,3092,33.76,14.4,100.0,99.9,,26.03,1,0,0,0,0,0
1060,לקיה,2019,Knesset_21,1657,1.2673506336753169,5.684596577017115,9.963325183374083,0.1222493887530562,84.22982885085575,0.3,59.81,43.91,3.68,3654,9.65,413,65.7,5947.31,9.17,16.3,30.26,34.5,14.45,37.0,24.1,5.75,1237.5,2530,33.4,13.7,100.0,99.9,0.1,26.56,1,0,0,0,0,0
1060,לקיה,2019,Knesset_22,3426,2.159953298307064,0.9248210023866348,4.713603818615752,0.2088305489260143,94.1527446300716,0.3,59.81,43.91,3.68,3654,9.65,413,65.7,5947.31,9.17,16.3,30.26,34.5,14.45,37.0,24.1,5.75,1237.5,2530,33.4,13.7,100.0,99.9,0.1,26.56,1,0,0,0,0,0
1060,לקיה,2020,Knesset_23,3773,0.6626027034190299,0.3468516542155816,1.6275346851654215,0.1867662753468516,97.83884738527216,0.0,58.93,53.27,3.01,3584,10.2,431,65.4,6094.384615384615,11.39,16.6,34.31,35.73,14.96,33.94,51.08,5.35,1342.0,2394,33.7,14.07,100.0,99.9,,27.11,1,0,0,0,0,0
1060,לקיה,2021,Knesset_24,3174,0.315059861373661,2.338811630847029,1.0429835651074588,0.0316055625790139,96.5865992414665,0.01,58.09,55.33,2.95,3639,10.97,439,64.3,8205.2,10.73,16.59,37.46,36.81,15.02,35.0,30.89,5.63,1316.0,2627,33.7,14.13,100.0,99.9,,27.89,1,0,0,0,0,0
1060,לקיה,2022,Knesset_25,4083,0.6612784717119765,0.641025641025641,0.8382642998027613,0.1479289940828402,98.37278106508876,,58.73,54.84,2.9,3687,11.7,458,65.2,8147.7,11.62,17.0,35.19,39.87,14.94,35.51,33.66,5.83,1303.0,2367,33.31,13.9,100.0,99.9,,27.49,1,0,0,0,0,0
1061,נוף הגליל,2019,Knesset_21,21301,2.1689122576404865,62.40702528912136,18.82527952396948,3.0999568117472047,15.667738375161957,30.1,42.15,64.78,1.92,626,16.56,8295,58.8,8107.28,15.92,8.1,56.99,6.36,19.18,44.0,38.45,2.28,846.2,2652,30.0,8.1,39.6,38.3,61.7,21.23,0,1,0,0,0,0
1061,נוף הגליל,2019,Knesset_22,21903,2.506505958087933,56.031656832443566,16.82120445818114,4.579938184883394,22.5672005244919,30.1,42.15,64.78,1.92,626,16.56,8295,58.8,8107.28,15.92,8.1,56.99,6.36,19.18,44.0,38.45,2.28,846.2,2652,30.0,8.1,39.6,38.3,61.7,21.23,0,1,0,0,0,0
